filename,peak_n,tR_min,height_mV,area_mV_min,left_min,right_min
2m2boh1.gcd,1,4.9695,69506.31,14327.3547,4.6462,5.5616
2m2boh1.gcd,2,5.7469,48623.81,5198.2069,5.5616,7.4570
2m2boh2.gcd,1,5.0242,87442.13,21882.2732,4.6355,5.5882
2m2boh2.gcd,2,5.7829,53320.64,5500.4235,5.5882,7.4336
2m2boh3.gcd,1,5.0035,79896.40,18656.1988,4.6415,5.5889
2m2boh3.gcd,2,5.7322,37252.75,3054.3499,5.5889,7.4030
2m2boh4.gcd,1,5.0075,80049.81,18693.3383,4.6428,5.5956
2m2boh4.gcd,2,5.6976,23033.11,1395.2285,5.5956,7.3150
2m2boh5.gcd,1,5.0222,84313.56,20974.5513,4.6395,5.6102
2m2boh5.gcd,2,5.6849,12391.91,570.9112,5.6102,7.1556
