filename,peak_n,tR_min,height_mV,area_mV_min,left_min,right_min
A1_1.gcd,1,2.7774,68.89,6.3555,2.7301,3.1195
A1_1.gcd,2,4.9482,62064.11,11894.3685,4.6548,5.7696
A1_1.gcd,3,5.9416,48258.45,5868.3097,5.7696,6.0942
A1_1.gcd,4,6.1342,243.23,12.1987,6.0942,6.2609
A1_1.gcd,5,6.3236,201.90,8.3683,6.2709,6.4849
A1_1.gcd,6,6.5403,331.29,8.7829,6.4849,6.5763
A1_1.gcd,7,7.3030,144.75,0.6176,7.2930,7.3190
A1_1.gcd,8,7.3416,253.67,4.4901,7.3190,7.4043
A1_1.gcd,9,7.4583,132.97,5.8069,7.4043,7.5550
A1_1.gcd,10,8.5170,81.78,5.0392,8.0843,8.8937
A1_1.gcd,11,12.9558,634.98,25.6617,12.9032,13.2579
A1_1.gcd,12,13.3839,21097.59,1284.6566,13.2579,17.0007
A1_2.gcd,1,2.7794,72.59,5.8379,2.7321,3.1995
A1_2.gcd,2,4.9482,63304.79,12507.9920,4.6422,5.1229
A1_2.gcd,3,5.3095,142.36,8.3767,5.1229,5.5049
A1_2.gcd,4,5.9396,46078.09,5490.9899,5.7696,6.0882
A1_2.gcd,5,6.1342,296.01,21.4136,6.0882,6.3282
A1_2.gcd,6,6.5416,257.30,8.1801,6.4496,6.5783
A1_2.gcd,7,7.3776,66.31,3.1927,7.3223,7.5403
A1_2.gcd,8,8.5323,80.54,4.5139,8.4697,8.8883
A1_2.gcd,9,13.3832,19983.38,1184.9326,13.3059,17.0007
A1_3.gcd,1,4.9782,70714.80,15430.4840,4.6408,5.7849
A1_3.gcd,2,5.9029,7763.91,387.3552,5.7849,6.0936
A1_3.gcd,3,13.4959,182.34,17.5400,13.4285,14.0192
A1_4.gcd,1,4.9822,72306.33,15954.6239,4.6395,5.7882
A1_4.gcd,2,5.9042,7700.04,375.4892,5.7882,6.0756
A1_4.gcd,3,13.5012,172.63,16.6258,13.4339,14.0372
A2_5.gcd,1,2.7748,60.60,4.5514,2.7301,3.2021
A2_5.gcd,2,4.9282,58627.74,10695.0589,4.6415,5.1202
A2_5.gcd,3,5.2922,134.79,9.8145,5.1202,5.5195
A2_5.gcd,4,5.9322,45936.97,5490.4179,5.7622,6.0842
A2_5.gcd,5,6.1342,308.29,26.3214,6.0842,6.3522
A2_5.gcd,6,6.5329,272.69,7.3448,6.4483,6.5636
A2_5.gcd,7,7.3743,55.50,3.2714,7.3150,7.6430
A2_5.gcd,8,8.5330,100.18,5.6950,8.4683,8.7883
A2_5.gcd,9,13.3965,51608.35,4635.0973,13.2899,16.6760
A2_6.gcd,1,2.7748,54.51,4.0908,2.7301,3.1728
A2_6.gcd,2,4.9235,57731.59,10297.5371,4.6415,5.1202
A2_6.gcd,3,5.2942,133.52,9.8661,5.1202,5.5269
A2_6.gcd,4,5.9302,46104.41,5560.8299,5.7602,6.0849
A2_6.gcd,5,6.1396,312.83,27.8355,6.0849,6.3589
A2_6.gcd,6,6.5303,277.99,7.3386,6.4469,6.5603
A2_6.gcd,7,7.3730,55.19,3.3272,7.3163,7.6443
A2_6.gcd,8,8.5317,106.91,6.1571,8.4663,8.8743
A2_6.gcd,9,13.3959,53415.50,4718.5575,13.2659,16.3826
A2_7.gcd,1,4.9095,52661.38,8763.8999,4.6475,5.2869
A2_7.gcd,2,5.8749,13986.93,988.4447,5.2869,8.1950
A2_7.gcd,3,13.3979,1666.03,150.5732,13.3319,16.6687
A2_8.gcd,1,4.9622,66186.72,13622.5104,4.6395,5.1522
A2_8.gcd,2,5.9036,10434.07,627.8191,5.1522,6.2202
A2_8.gcd,3,13.4212,833.47,85.7905,13.3559,16.4433
A3_10.gcd,1,4.9249,58377.48,10523.6861,4.6388,5.1069
A3_10.gcd,2,5.3329,140.80,11.2083,5.1069,5.5202
A3_10.gcd,3,5.9109,36392.20,3717.1831,5.7582,6.0542
A3_10.gcd,4,6.0976,274.21,26.9273,6.0542,6.3176
A3_10.gcd,5,6.5176,179.49,4.3665,6.4429,6.5463
A3_10.gcd,6,8.5357,61.28,3.3616,8.4670,8.8730
A3_10.gcd,7,13.3992,72575.87,7741.3929,13.2719,16.8860
A3_11.gcd,1,4.9502,64772.87,12999.9686,4.6388,5.2762
A3_11.gcd,2,5.8936,9073.35,520.9968,5.2762,7.2323
A3_11.gcd,3,13.3772,2656.24,225.8072,13.3119,16.4266
A3_12.gcd,1,4.9562,66136.76,13368.1996,4.6382,5.2495
A3_12.gcd,2,5.8949,8484.12,475.7236,5.2495,7.2643
A3_12.gcd,3,13.3872,1823.06,169.4430,13.3239,16.3360
A3_9.gcd,1,4.9295,59599.23,10979.4479,4.6395,5.1069
A3_9.gcd,2,5.3049,143.16,11.0414,5.1069,5.5155
A3_9.gcd,3,5.9102,33722.81,3333.4374,5.7609,6.0476
A3_9.gcd,4,6.0936,260.80,24.1507,6.0476,6.3002
A3_9.gcd,5,6.5189,155.82,3.6979,6.4456,6.5469
A3_9.gcd,6,8.5357,53.14,2.8881,8.4690,8.7583
A3_9.gcd,7,13.3972,67587.31,6836.2061,13.2792,16.6653
A4_13.gcd,1,4.9202,57655.44,10272.0866,4.6375,5.1015
A4_13.gcd,2,5.3189,145.50,12.9820,5.1015,5.5309
A4_13.gcd,3,5.8982,29685.80,2731.6787,5.7582,6.0496
A4_13.gcd,4,6.0962,255.62,27.3591,6.0496,6.3322
A4_13.gcd,5,6.5029,125.37,2.6635,6.4389,6.5296
A4_13.gcd,6,13.4019,108167.39,14484.3522,13.1772,16.9733
A4_14.gcd,1,4.9182,57953.14,10252.4620,4.6375,5.1022
A4_14.gcd,2,5.3122,146.90,13.4368,5.1022,5.5376
A4_14.gcd,3,5.8916,26435.54,2258.8635,5.7589,6.0369
A4_14.gcd,4,6.0882,240.93,25.2394,6.0369,6.3109
A4_14.gcd,5,6.5009,100.99,1.9677,6.4383,6.5263
A4_14.gcd,6,13.3985,96745.36,11997.2384,13.2352,16.9933
A4_15.gcd,1,4.9769,71885.20,15855.0849,4.6308,5.7829
A4_15.gcd,2,5.8916,2901.82,115.8041,5.7829,5.9456
A4_15.gcd,3,13.4272,749.48,77.0611,13.3605,16.6540
A4_16.gcd,1,4.9802,74058.69,16745.8810,4.6275,5.7842
A4_16.gcd,2,5.8949,3083.27,123.2025,5.7842,5.9482
A4_16.gcd,3,13.4225,767.11,79.0527,13.3572,16.3800
A5_17.gcd,1,4.9329,61359.53,11580.1103,4.6362,5.1975
A5_17.gcd,2,5.8636,2611.32,117.7055,5.1975,7.1269
A5_17.gcd,3,13.3719,3457.56,276.7593,13.3072,16.4173
A5_18.gcd,1,4.9242,59233.53,10746.2000,4.6368,5.1735
A5_18.gcd,2,5.8562,2384.72,108.2206,5.1735,7.1456
A5_18.gcd,3,13.3752,2957.31,244.1385,13.3105,16.3440
A5_19.gcd,1,4.9675,70237.18,15376.3947,4.6262,5.1182
A5_19.gcd,2,5.3069,177.38,6.5033,5.1182,5.4562
A5_19.gcd,3,5.8529,5148.76,187.9120,5.7829,5.9516
A5_19.gcd,4,6.0969,60.46,5.4534,5.9602,6.2242
A5_19.gcd,5,13.3812,44615.61,3708.5650,13.2865,16.6413
A5_20.gcd,1,4.9715,72272.76,15801.4615,4.6255,5.1269
A5_20.gcd,2,5.3069,178.99,5.4633,5.1269,5.4422
A5_20.gcd,3,5.8556,5307.17,195.6831,5.7836,5.9556
A5_20.gcd,4,6.0889,61.58,5.6219,5.9609,6.2276
A5_20.gcd,5,13.3772,46229.47,3840.1261,13.2852,16.4220
B1_1.gcd,1,4.9355,62856.82,12307.4798,4.6282,5.1189
B1_1.gcd,2,5.3049,180.60,13.1284,5.1189,5.4882
B1_1.gcd,3,5.6296,16784.49,5.9001,5.6229,5.6429
B1_1.gcd,4,5.7782,42538.27,2619.0717,5.6429,6.0222
B1_1.gcd,5,6.0809,122.84,1.2954,6.0342,6.1276
B1_1.gcd,6,13.3652,18563.61,1126.4780,13.2925,16.4286
B1_2.gcd,1,4.9209,60172.76,11588.2231,4.6275,5.1222
B1_2.gcd,2,5.3042,180.70,13.8842,5.1222,5.4922
B1_2.gcd,3,5.6302,19248.56,13.1547,5.6216,5.6469
B1_2.gcd,4,5.7909,48496.32,3104.1534,5.6469,6.0296
B1_2.gcd,5,6.1002,117.81,2.0685,6.0489,6.1729
B1_2.gcd,6,13.3652,21464.63,1374.5577,13.2885,16.4353
B1_3.gcd,1,4.9749,72109.64,16133.5859,4.6275,5.5636
