filename,cmp1_tR_min,cmp1_area_mV_min,cmp2_tR_min,cmp2_area_mV_min,cmp3_tR_min,cmp3_area_mV_min,cmp4_tR_min,cmp4_area_mV_min,cmp5_tR_min,cmp5_area_mV_min,cmp6_tR_min,cmp6_area_mV_min,cmp7_tR_min,cmp7_area_mV_min,cmp8_tR_min,cmp8_area_mV_min,cmp9_tR_min,cmp9_area_mV_min,cmp10_tR_min,cmp10_area_mV_min
A1_1.gcd,2.7774,6.3555,4.9482,11894.3685,,,5.9416,5868.3097,6.3236,8.3683,6.5403,8.7829,7.3416,4.4901,8.5170,5.0392,12.9558,25.6617,13.3839,1284.6566
A1_2.gcd,2.7794,5.8379,4.9482,12507.9920,5.3095,8.3767,5.9396,5490.9899,,,6.5416,8.1801,7.3776,3.1927,8.5323,4.5139,,,13.3832,1184.9326
A1_3.gcd,,,4.9782,15430.4840,,,5.9029,387.3552,,,,,,,,,,,13.4959,17.5400
A1_4.gcd,,,4.9822,15954.6239,,,5.9042,375.4892,,,,,,,,,,,13.5012,16.6258
A2_5.gcd,2.7748,4.5514,4.9282,10695.0589,5.2922,9.8145,5.9322,5490.4179,,,6.5329,7.3448,7.3743,3.2714,8.5330,5.6950,,,13.3965,4635.0973
A2_6.gcd,2.7748,4.0908,4.9235,10297.5371,5.2942,9.8661,5.9302,5560.8299,,,6.5303,7.3386,7.3730,3.3272,8.5317,6.1571,,,13.3959,4718.5575
A2_7.gcd,,,4.9095,8763.8999,,,5.8749,988.4447,,,,,,,,,,,13.3979,150.5732
A2_8.gcd,,,4.9622,13622.5104,,,5.9036,627.8191,,,,,,,,,,,13.4212,85.7905
A3_10.gcd,,,4.9249,10523.6861,5.3329,11.2083,5.9109,3717.1831,,,6.5176,4.3665,,,8.5357,3.3616,,,13.3992,7741.3929
A3_11.gcd,,,4.9502,12999.9686,,,5.8936,520.9968,,,,,,,,,,,13.3772,225.8072
A3_12.gcd,,,4.9562,13368.1996,,,5.8949,475.7236,,,,,,,,,,,13.3872,169.4430
