filename,peak_n,tR_min,height_mV,area_mV_min,left_min,right_min
1octoh1.gcd,1,4.9809,72193.17,15621.7005,4.6442,7.7483
1octoh1.gcd,2,9.8984,58.15,3.9655,9.7664,10.0391
1octoh1.gcd,3,10.6318,48833.65,6329.2953,10.3931,11.7765
1octoh1.gcd,4,11.8845,66.33,2.3286,11.8058,12.2218
1octoh2.gcd,1,4.9895,74825.90,16636.1591,4.6435,7.7370
1octoh2.gcd,2,9.8984,54.08,3.1913,9.7584,10.0277
1octoh2.gcd,3,10.6017,39854.73,4709.2263,10.3957,11.7605
1octoh2.gcd,4,11.8798,51.66,1.5748,11.8071,12.3272
1octoh3.gcd,1,5.0062,79982.43,18859.1843,4.6408,7.7396
1octoh3.gcd,2,9.8964,50.17,2.3312,9.7550,10.0124
1octoh3.gcd,3,10.5751,32795.09,3399.1036,10.3977,11.6245
1octoh4.gcd,1,5.0075,79761.99,18960.7160,4.6408,7.8443
1octoh4.gcd,2,10.5271,20891.04,1641.0413,10.4011,11.6571
1octoh5.gcd,1,5.0122,81753.50,19469.7257,4.6408,7.8476
1octoh5.gcd,2,10.4817,9780.01,616.7000,10.4031,11.3458
2-propanol_limpieza.gcd,1,5.0035,81418.04,19041.8898,4.6408,7.3136
2-propanol_limpieza2.gcd,1,5.0042,78788.40,18217.8299,4.6455,7.8363
2-propanol_limpieza3.gcd,1,4.9995,77836.80,17773.3277,4.6442,7.8383
2-propanol_limpieza4.gcd,1,5.0109,82288.87,19481.4428,4.6402,7.8356
2m2boh1.gcd,1,4.9695,69506.31,14327.3547,4.6462,5.5616
2m2boh1.gcd,2,5.7469,48623.81,5198.2069,5.5616,7.4570
2m2boh2.gcd,1,5.0242,87442.13,21882.2732,4.6355,5.5882
2m2boh2.gcd,2,5.7829,53320.64,5500.4235,5.5882,7.4336
2m2boh3.gcd,1,5.0035,79896.40,18656.1988,4.6415,5.5889
2m2boh3.gcd,2,5.7322,37252.75,3054.3499,5.5889,7.4030
2m2boh4.gcd,1,5.0075,80049.81,18693.3383,4.6428,5.5956
2m2boh4.gcd,2,5.6976,23033.11,1296.3482,5.5956,5.8636
2m2boh4.gcd,3,5.8902,208.98,0.5478,5.8636,5.9069
2m2boh5.gcd,1,5.0222,84313.56,20974.5513,4.6395,5.6102
2m2boh5.gcd,2,5.6849,12391.91,512.5189,5.6102,5.8556
2m2boh5.gcd,3,5.8889,144.47,0.6072,5.8556,5.9069
2m3b2oh1.gcd,1,2.8108,63.96,5.9776,2.7321,3.2041
2m3b2oh1.gcd,2,4.9729,69734.34,14496.7054,4.6488,5.7329
2m3b2oh1.gcd,3,5.9342,58317.53,5387.5037,5.7329,6.5083
2m3b2oh1.gcd,4,6.5663,252.18,4.8973,6.5083,6.5963
2m3b2oh1.gcd,5,7.0343,62.65,0.6623,7.0003,7.0609
2m3b2oh2.gcd,1,4.9775,71899.46,15408.3557,4.6475,5.7369
2m3b2oh2.gcd,2,5.9262,48944.43,4113.2824,5.7369,6.5023
2m3b2oh2.gcd,3,6.5623,198.28,3.2013,6.5023,6.5896
2m3b2oh3.gcd,1,4.9869,74144.39,16307.0011,4.6468,5.7429
2m3b2oh3.gcd,2,5.9116,36508.57,2703.2778,5.7429,6.4976
2m3b2oh3.gcd,3,6.5596,149.01,1.7264,6.4976,6.5823
2m3b2oh4.gcd,1,4.9955,75987.62,17277.8021,4.6455,5.8062
2m3b2oh4.gcd,2,5.8942,24300.87,1361.3695,5.8062,7.5183
2m3b2oh5.gcd,1,4.9975,77865.14,17693.9763,4.6455,5.8082
2m3b2oh5.gcd,2,5.8782,12046.88,523.6559,5.8082,7.4416
2octanone1.gcd,1,4.9762,72018.56,15267.8451,4.6442,8.0163
2octanone1.gcd,2,8.5723,41850.63,6234.3804,8.2890,8.7690
2octanone1.gcd,3,8.8297,374.05,5.5535,8.7690,8.8517
2octanone1.gcd,4,9.3010,151.51,4.6131,9.2624,9.4977
2octanone2.gcd,1,4.9802,72797.72,15781.7788,4.6428,7.9976
2octanone2.gcd,2,8.5277,33590.75,4118.9653,8.2923,8.7803
2octanone2.gcd,3,8.8043,302.88,1.9729,8.7803,8.8217
2octanone2.gcd,4,9.2964,73.67,1.1774,9.2610,9.4010
2octanone3.gcd,1,4.9855,74656.76,16383.9982,4.6415,7.9990
