filename,cmp1_tR_min,cmp1_area_mV_min,cmp2_tR_min,cmp2_area_mV_min,cmp3_tR_min,cmp3_area_mV_min,cmp4_tR_min,cmp4_area_mV_min,cmp5_tR_min,cmp5_area_mV_min,cmp6_tR_min,cmp6_area_mV_min,cmp7_tR_min,cmp7_area_mV_min,cmp8_tR_min,cmp8_area_mV_min,cmp9_tR_min,cmp9_area_mV_min,cmp10_tR_min,cmp10_area_mV_min,cmp11_tR_min,cmp11_area_mV_min,cmp12_tR_min,cmp12_area_mV_min,cmp13_tR_min,cmp13_area_mV_min,cmp14_tR_min,cmp14_area_mV_min,cmp15_tR_min,cmp15_area_mV_min,cmp16_tR_min,cmp16_area_mV_min,cmp17_tR_min,cmp17_area_mV_min,cmp18_tR_min,cmp18_area_mV_min,cmp19_tR_min,cmp19_area_mV_min,cmp20_tR_min,cmp20_area_mV_min,cmp21_tR_min,cmp21_area_mV_min,cmp22_tR_min,cmp22_area_mV_min,cmp23_tR_min,cmp23_area_mV_min,cmp24_tR_min,cmp24_area_mV_min
1octoh1.gcd,,,4.9809,15621.7005,,,,,,,,,,,,,9.8984,3.9655,10.6318,6329.2953,11.8845,2.3286,,,,,,,,,,,,,,,,,,,,,,,,,,
1octoh2.gcd,,,4.9895,16636.1591,,,,,,,,,,,,,9.8984,3.1913,10.6017,4709.2263,11.8798,1.5748,,,,,,,,,,,,,,,,,,,,,,,,,,
1octoh3.gcd,,,5.0062,18859.1843,,,,,,,,,,,,,9.8964,2.3312,10.5751,3399.1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1octoh4.gcd,,,5.0075,18960.7160,,,,,,,,,,,,,,,10.5271,1641.0413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1octoh5.gcd,,,5.0122,19469.7257,,,,,,,,,,,,,,,10.4817,616.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-propanol_limpieza.gcd,,,5.0035,19041.8898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-propanol_limpieza2.gcd,,,5.0042,18217.8299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-propanol_limpieza3.gcd,,,4.9995,17773.3277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-propanol_limpieza4.gcd,,,5.0109,19481.4428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m2boh1.gcd,,,4.9695,14327.3547,5.7469,5198.2069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m2boh2.gcd,,,5.0242,21882.2732,5.7829,5500.4235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m2boh3.gcd,,,5.0035,18656.1988,5.7322,3054.3499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m2boh4.gcd,,,5.0075,18693.3383,5.8902,0.5478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m2boh5.gcd,,,5.0222,20974.5513,5.8889,0.6072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m3b2oh1.gcd,2.8108,5.9776,4.9729,14496.7054,5.9342,5387.5037,6.5663,4.8973,7.0343,0.6623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m3b2oh2.gcd,,,4.9775,15408.3557,5.9262,4113.2824,6.5623,3.2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m3b2oh3.gcd,,,4.9869,16307.0011,5.9116,2703.2778,6.5596,1.7264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m3b2oh4.gcd,,,4.9955,17277.8021,5.8942,1361.3695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2m3b2oh5.gcd,,,4.9975,17693.9763,5.8782,523.6559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2octanone1.gcd,,,4.9762,15267.8451,,,,,,,8.5723,6234.3804,8.8297,5.5535,9.3010,4.6131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2octanone2.gcd,,,4.9802,15781.7788,,,,,,,8.5277,4118.9653,8.8043,1.9729,9.2964,1.1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
