filename,peak_n,tR_min,height_mV,area_mV_min,left_min,right_min
2pe1.gcd,1,4.9729,69866.51,14643.8188,0.1973,7.3950
2pe1.gcd,2,13.4265,81607.88,9093.7534,7.3950,16.8880
2pe2.gcd,1,4.9802,71813.77,15381.9866,0.5974,7.8116
2pe2.gcd,2,13.4225,67059.47,6696.3462,7.8116,16.8847
2pe3.gcd,1,4.9835,73466.71,16066.6637,1.0314,7.8190
2pe3.gcd,2,13.4192,50792.90,4468.2964,7.8190,16.8480
2pe4.gcd,1,4.9995,78069.17,17682.3381,1.0847,7.8163
2pe4.gcd,2,13.4112,31237.75,2216.0627,7.8163,16.8727
2pe5.gcd,1,5.0049,79501.24,18472.3316,1.0760,7.8210
2pe5.gcd,2,13.4032,14873.74,894.8075,7.8210,16.5606
